,Scene_Graph_ID,Category,question,answer,image_path
0,1010100060120230808142009,1.국내_일상_장면/01.필수생활/01.의생활/0006.귀,사진에 대해서 설명해 주세요.,사진 속 머리는 귀와 코를 포함하고 있습니다.,sample_data/1010100060120230808142009.jpg
1,1010100120120230808131049,1.국내_일상_장면/01.필수생활/01.의생활/0012.사람,사진에 대해 전반적으로 설명해 주세요.,이 사진에는 주차된 오토바이 주변에 금속 자전거와 서 있는 사람이 있습니다.,sample_data/1010100120120230808131049.jpg
2,1010100120120230809141130,1.국내_일상_장면/01.필수생활/01.의생활/0012.사람,"난간과 지붕을 비교했을 때, 무엇이 더 짧은가요?",난간과 지붕을 비교했을 때 더 짧은 것은 난간입니다.,sample_data/1010100120120230809141130.jpg
3,1010100120120230810145117,1.국내_일상_장면/01.필수생활/01.의생활/0012.사람,이미지에 대해 전반적으로 설명해 주세요.,정자 앞에 표지판과 사람이 보입니다.,sample_data/1010100120120230810145117.jpg
4,1010100240120230808160751,1.국내_일상_장면/01.필수생활/01.의생활/0024.신발,사진에 대해서 설명해주세요.,사진 속 지붕 아래에는 고무 소재의 신발과 각진 모양의 함이 있습니다.,sample_data/1010100240120230808160751.jpg
5,1010100240120230810113324,1.국내_일상_장면/01.필수생활/01.의생활/0024.신발,"소화기, 신발, 문에 대해 설명해 주세요.","문의 오른쪽엔 소화기가 있고, 왼쪽엔 신발이 있습니다.",sample_data/1010100240120230810113324.jpg
6,1010100250120230810141146,1.국내_일상_장면/01.필수생활/01.의생활/0025.모자,사진에 대해 간단히 설명해 보세요.,"사진에는 지팡이와 보라색 신발이 보이며, 모자가 건물 벽에 걸려 있습니다.",sample_data/1010100250120230810141146.jpg
7,1010100460120230809133240,1.국내_일상_장면/01.필수생활/01.의생활/0046.거울,사진 속 물체들에 대해 자세히 설명해주세요.,"마루 위에는 목재로 만들어진 책상이 있으며, 오른쪽 벽에는 직사각형 모양의 거울이 걸려 있습니다.",sample_data/1010100460120230809133240.jpg
8,1010105570120230810120007,1.국내_일상_장면/01.필수생활/01.의생활/0557.코,이미지 속의 코에 대한 전반적인 설명을 해줘.,이미지 속의 코는 입 위에 있으며 입보다 높고 머리 보다 작다.,sample_data/1010105570120230810120007.jpg
9,1010110440120230809114211,1.국내_일상_장면/01.필수생활/01.의생활/1044.고무신,사진에 대해서 구체적으로 서술해주세요,기와지붕을 가진 한옥의 일부분을 보여주는 사진입니다.,sample_data/1010110440120230809114211.jpg
